ID,Gender,Age,Ethnicity,Education,Country,CountryPP,EstimatedIncome,NScore,EScore,OScore,AScore,CScore,Impulsivity,SensationSeeking,Alcohol,Amphet,Amyl,Benzos,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
11,F,Ag2,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,26,45,38,38,53,4,6,CL5,CL0,CL1,CL0,CL6,CL2,CL5,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL1
13,F,Ag5,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,3942.8076172,56,41,49,32,36,7,6,CL5,CL1,CL0,CL4,CL6,CL3,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL1,CL6,CL0,CL0
14,F,Ag5,WH,Ed6,Canada,46059,4173.7192383,28,45,46,49,59,2,3,CL1,CL0,CL0,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
15,F,Ag5,WH,Ed6,United Kingdom of Great Britain and Northern Ireland,43105,3942.8076172,27,49,49,39,52,7,8,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
16,M,Ag5,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,3942.8076172,19,29,35,36,49,2,4,CL5,CL2,CL2,CL0,CL6,CL1,CL5,CL2,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
17,F,Ag3,WH,Ed5,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,22,34,34,45,47,3,0,CL6,CL0,CL0,CL1,CL6,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
18,M,Ag4,WH,Ed2,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,41,31,44,40,31,1,3,CL6,CL1,CL1,CL0,CL6,CL6,CL4,CL1,CL0,CL1,CL0,CL2,CL0,CL1,CL0,CL1,CL6,CL0,CL0
19,M,Ag5,WH,Ed7,Australia,49901,5318.0688477,49,39,45,30,30,2,5,CL6,CL2,CL0,CL2,CL6,CL3,CL6,CL2,CL0,CL2,CL0,CL0,CL2,CL1,CL0,CL1,CL0,CL0,CL0
20,M,Ag3,WH,Ed6,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,32,27,29,30,47,1,0,CL4,CL1,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL6,CL0,CL1,CL0,CL0
21,M,Ag4,WH,Ed6,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,28,45,51,53,33,4,5,CL6,CL1,CL1,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL3,CL0,CL0
22,M,Ag6,WH,Ed1,United Kingdom of Great Britain and Northern Ireland,43105,2915.7807617,25,43,38,39,53,3,2,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
23,M,Ag4,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,40,33,40,50,35,2,6,CL4,CL0,CL0,CL0,CL5,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
24,M,Ag4,WH,Ed2,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,51,16,37,45,34,1,1,CL6,CL2,CL1,CL5,CL6,CL2,CL6,CL2,CL0,CL0,CL1,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL1
25,M,Ag5,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,3942.8076172,34,44,54,48,51,3,4,CL5,CL1,CL1,CL1,CL5,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
26,M,Ag4,WH,Ed5,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,28,37,37,49,42,3,7,CL5,CL1,CL2,CL0,CL6,CL1,CL5,CL2,CL0,CL2,CL0,CL0,CL3,CL2,CL0,CL2,CL1,CL0,CL0
27,F,Ag5,WH,Ed4,Canada,46059,4173.7192383,35,28,24,38,46,4,1,CL6,CL0,CL0,CL2,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
28,M,Ag3,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,41,31,46,43,25,8,7,CL6,CL1,CL1,CL2,CL6,CL6,CL5,CL1,CL0,CL0,CL0,CL0,CL2,CL1,CL0,CL3,CL2,CL0,CL0
29,F,Ag3,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,36,29,41,45,50,4,4,CL6,CL0,CL0,CL0,CL4,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
30,M,Ag4,WH,Ed9,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,24,51,52,49,53,3,4,CL0,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
31,M,Ag4,WH,Ed2,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,39,34,37,33,37,1,6,CL6,CL1,CL1,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL1,CL0,CL1,CL1,CL1,CL1,CL2,CL0,CL0
33,M,Ag3,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,28,31,46,46,42,4,3,CL6,CL1,CL1,CL0,CL6,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL0
34,M,Ag1,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,3024.1740723,40,38,48,51,41,2,1,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
35,M,Ag3,OT,Ed7,United States of America,58669,3492,46,44,52,23,36,5,10,CL4,CL2,CL1,CL1,CL5,CL2,CL5,CL2,CL1,CL1,CL1,CL2,CL1,CL1,CL1,CL1,CL5,CL0,CL1
36,M,Ag6,WH,Ed1,United Kingdom of Great Britain and Northern Ireland,43105,2915.7807617,33,34,28,41,36,5,1,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
37,M,Ag3,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,33,36,45,43,30,3,5,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
38,M,Ag5,WH,Ed1,United States of America,58669,3644,39,42,53,44,37,5,4,CL6,CL1,CL2,CL1,CL6,CL3,CL4,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
39,M,Ag4,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,22,48,48,43,47,3,3,CL6,CL1,CL0,CL0,CL4,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
40,F,Ag6,WH,Ed6,United Kingdom of Great Britain and Northern Ireland,43105,2915.7807617,33,33,38,38,45,1,5,CL6,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL4,CL0,CL1,CL0,CL0
41,M,Ag3,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,36,37,46,29,47,2,6,CL5,CL1,CL0,CL2,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
42,F,Ag3,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,44,40,53,54,39,3,5,CL4,CL0,CL0,CL0,CL4,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
43,M,Ag3,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,34,33,37,43,37,3,4,CL6,CL0,CL3,CL5,CL6,CL2,CL4,CL6,CL0,CL4,CL0,CL2,CL2,CL0,CL0,CL0,CL1,CL0,CL0
44,M,Ag3,WH,Ed6,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,27,36,44,42,34,3,5,CL6,CL2,CL2,CL0,CL6,CL3,CL6,CL3,CL0,CL2,CL0,CL0,CL0,CL2,CL0,CL0,CL6,CL0,CL0
45,M,Ag2,OT,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,26,49,49,51,48,3,6,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
46,F,Ag2,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,31,43,54,49,52,1,0,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
47,F,Ag4,WH,Ed5,Canada,46059,4817.7597656,39,44,38,45,51,2,3,CL3,CL0,CL0,CL0,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL2,CL0,CL1
48,M,Ag4,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,19,45,48,49,49,0,2,CL5,CL0,CL0,CL0,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
49,M,Ag4,WH,Ed2,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,37,34,44,42,37,4,3,CL6,CL1,CL1,CL0,CL6,CL5,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL0
50,F,Ag2,WB,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,44,36,32,37,44,5,9,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
51,M,Ag3,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,46,39,45,35,42,2,3,CL6,CL1,CL2,CL1,CL6,CL3,CL6,CL2,CL0,CL3,CL0,CL0,CL2,CL1,CL0,CL3,CL6,CL0,CL0
52,M,Ag4,WH,Ed6,Canada,46059,4817.7597656,47,46,42,37,27,8,10,CL2,CL1,CL1,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL2,CL0,CL0
53,F,Ag5,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,3942.8076172,34,40,36,45,36,5,1,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
54,M,Ag4,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,23,39,53,45,44,3,5,CL5,CL1,CL1,CL0,CL6,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
55,M,Ag5,WH,Ed2,United Kingdom of Great Britain and Northern Ireland,43105,3942.8076172,36,47,42,36,33,7,9,CL6,CL0,CL0,CL0,CL6,CL2,CL6,CL6,CL0,CL3,CL0,CL0,CL3,CL1,CL0,CL1,CL1,CL0,CL0
56,F,Ag5,WH,Ed6,United Kingdom of Great Britain and Northern Ireland,43105,3942.8076172,36,35,38,40,39,1,0,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
57,F,Ag3,WH,Ed5,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,36,40,34,43,44,1,1,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
58,F,Ag2,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,30,44,32,45,47,2,4,CL1,CL0,CL0,CL0,CL6,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
59,M,Ag4,WH,Ed4,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,38,44,46,40,39,8,9,CL5,CL1,CL1,CL0,CL6,CL5,CL5,CL5,CL2,CL3,CL1,CL3,CL3,CL1,CL0,CL2,CL6,CL0,CL1
60,M,Ag4,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,31,31,37,32,41,1,1,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
61,F,Ag2,WH,Ed9,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,49,42,48,41,40,1,6,CL5,CL0,CL0,CL3,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
62,M,Ag4,AS,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,18,50,54,44,50,1,2,CL5,CL1,CL0,CL0,CL4,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL1
63,M,Ag2,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,30,30,33,34,45,1,2,CL5,CL0,CL0,CL0,CL5,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
64,M,Ag4,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,46,38,41,39,42,1,2,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
65,M,Ag4,WH,Ed9,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,22,43,53,40,48,1,4,CL6,CL1,CL0,CL1,CL6,CL6,CL5,CL4,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
66,M,Ag3,WH,Ed5,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,43,43,40,50,46,5,5,CL5,CL0,CL0,CL3,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
67,M,Ag4,WH,Ed2,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,26,35,38,51,45,2,2,CL4,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
68,M,Ag2,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,32,38,53,37,41,6,5,CL5,CL1,CL1,CL0,CL6,CL2,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL5,CL0,CL0
70,F,Ag4,WH,Ed2,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,35,35,34,45,42,1,3,CL6,CL0,CL0,CL6,CL1,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
71,M,Ag2,WH,Ed5,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,32,38,47,30,40,5,8,CL6,CL2,CL1,CL0,CL4,CL2,CL6,CL3,CL0,CL3,CL0,CL2,CL2,CL2,CL0,CL0,CL2,CL0,CL1
72,F,Ag4,WH,Ed4,Canada,46059,4817.7597656,31,47,44,50,43,0,3,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
73,M,Ag4,WH,Ed4,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,22,46,46,46,48,4,7,CL6,CL1,CL1,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
74,M,Ag4,WH,Ed6,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,29,36,44,45,49,2,5,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
75,F,Ag6,WH,Ed2,United Kingdom of Great Britain and Northern Ireland,43105,2915.7807617,25,27,26,33,44,5,0,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
76,M,Ag2,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,34,41,35,38,39,5,5,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
77,F,Ag4,WH,Ed3,Canada,46059,4817.7597656,32,35,35,46,46,0,0,CL4,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
78,M,Ag3,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,37,28,42,35,39,3,0,CL3,CL1,CL0,CL0,CL6,CL2,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL0
79,M,Ag3,WH,Ed5,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,28,34,31,32,25,0,2,CL6,CL0,CL1,CL0,CL6,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL1
80,M,Ag3,WH,Ed6,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,32,34,32,50,37,3,5,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
81,F,Ag6,WH,Ed9,Canada,46059,3078.0134277,36,42,49,42,51,3,5,CL6,CL0,CL0,CL3,CL6,CL1,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
82,F,Ag5,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,3942.8076172,28,31,46,37,41,6,7,CL5,CL1,CL1,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL1,CL0,CL0,CL1,CL1,CL1,CL1,CL0,CL0
83,M,Ag5,WH,Ed8,Canada,46059,4173.7192383,19,49,39,47,51,3,2,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
84,F,Ag5,WB,Ed3,United Kingdom of Great Britain and Northern Ireland,43105,3942.8076172,46,33,38,52,29,4,5,CL3,CL0,CL0,CL5,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
85,M,Ag4,WH,Ed2,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,32,41,44,41,41,1,6,CL5,CL0,CL0,CL0,CL6,CL2,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
86,F,Ag2,WH,Ed4,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,31,40,35,44,45,5,9,CL3,CL0,CL1,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
87,M,Ag3,WH,Ed5,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,43,39,38,44,41,3,7,CL5,CL0,CL1,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
88,M,Ag5,WH,Ed2,United Kingdom of Great Britain and Northern Ireland,43105,3942.8076172,27,41,43,41,44,2,7,CL5,CL0,CL0,CL0,CL5,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
89,F,Ag3,WH,Ed5,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,39,26,36,38,38,1,0,CL3,CL0,CL1,CL1,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
90,F,Ag3,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,45,36,48,39,40,5,5,CL5,CL1,CL1,CL2,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL0,CL0,CL1
91,F,Ag3,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,49,42,51,45,36,1,6,CL6,CL0,CL0,CL0,CL6,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
92,M,Ag3,WH,Ed6,Canada,46059,4566.8349609,40,37,51,45,47,6,8,CL2,CL0,CL0,CL3,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
93,M,Ag2,WH,Ed4,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,22,38,43,45,42,2,3,CL4,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
94,F,Ag6,WH,Ed2,United Kingdom of Great Britain and Northern Ireland,43105,2915.7807617,34,34,39,48,45,1,1,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
95,M,Ag4,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,29,36,39,47,41,1,0,CL5,CL0,CL0,CL3,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
96,M,Ag4,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,31,42,53,32,49,5,5,CL6,CL1,CL1,CL1,CL6,CL1,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
97,F,Ag3,WH,Ed7,Canada,46059,4566.8349609,37,32,48,42,47,1,1,CL4,CL1,CL0,CL0,CL6,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL3,CL0,CL0
98,F,Ag4,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,31,44,44,39,33,4,3,CL5,CL1,CL0,CL1,CL6,CL1,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
99,M,Ag3,WH,Ed9,Canada,46059,4566.8349609,25,37,46,39,48,3,9,CL4,CL1,CL0,CL0,CL6,CL1,CL4,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL2,CL0,CL0
100,F,Ag2,WH,Ed7,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,29,58,51,49,52,5,7,CL6,CL2,CL0,CL3,CL6,CL3,CL5,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
102,F,Ag4,WH,Ed2,Australia,49901,5747.7993164,30,43,34,42,48,1,3,CL4,CL0,CL0,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
103,M,Ag4,WH,Ed4,United Kingdom of Great Britain and Northern Ireland,43105,5219.1391602,30,48,55,34,42,2,9,CL6,CL1,CL3,CL4,CL6,CL1,CL4,CL4,CL1,CL2,CL2,CL1,CL1,CL2,CL0,CL2,CL1,CL0,CL0
104,F,Ag4,WH,Ed6,Canada,46059,4817.7597656,36,44,44,41,43,4,8,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
105,F,Ag2,WH,Ed5,Canada,46059,3479.4934082,27,41,45,50,46,2,6,CL5,CL0,CL0,CL0,CL6,CL6,CL6,CL2,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL2,CL6,CL0,CL0
